epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,488.144,0.89266,0.42301,0.92972,0.86581,0.91467,0.92878,0.50536,1.65644,0.64827,1.3192,0.000812,0.000812,0.000812
122,492.36,0.8813,0.42755,0.93466,0.86841,0.91023,0.92328,0.49457,1.65984,0.64907,1.33342,0.0008021,0.0008021,0.0008021
123,496.559,0.88068,0.42162,0.92435,0.88303,0.87356,0.91231,0.49721,1.66173,0.65881,1.33337,0.0007922,0.0007922,0.0007922
124,500.541,0.88933,0.42566,0.9394,0.88868,0.85644,0.9115,0.49221,1.68343,0.66411,1.34191,0.0007823,0.0007823,0.0007823
125,504.455,0.89806,0.42684,0.94223,0.85735,0.87506,0.91195,0.48221,1.70219,0.66683,1.35457,0.0007724,0.0007724,0.0007724
126,508.375,0.88009,0.41403,0.93201,0.88728,0.87463,0.91609,0.48322,1.70942,0.66834,1.36516,0.0007625,0.0007625,0.0007625
127,512.384,0.87907,0.42377,0.9234,0.8848,0.87739,0.90572,0.49416,1.68743,0.66436,1.35957,0.0007526,0.0007526,0.0007526
128,516.42,0.86914,0.41665,0.91668,0.90265,0.87356,0.91265,0.4924,1.67965,0.66593,1.34093,0.0007427,0.0007427,0.0007427
129,520.399,0.86239,0.41409,0.92552,0.89083,0.87542,0.91387,0.4838,1.69004,0.67778,1.33705,0.0007328,0.0007328,0.0007328
130,524.349,0.87154,0.41738,0.92992,0.89928,0.88942,0.92659,0.50054,1.6617,0.66301,1.33224,0.0007229,0.0007229,0.0007229
131,528.412,0.83735,0.4084,0.9194,0.90903,0.87356,0.92004,0.50015,1.65265,0.67024,1.33139,0.000713,0.000713,0.000713
132,532.426,0.84927,0.4078,0.91953,0.88938,0.89331,0.9146,0.49646,1.65499,0.66475,1.32928,0.0007031,0.0007031,0.0007031
133,536.507,0.86025,0.418,0.92357,0.86375,0.90421,0.91453,0.49349,1.67487,0.65854,1.33948,0.0006932,0.0006932,0.0006932
134,540.55,0.85672,0.41645,0.92002,0.87086,0.90429,0.918,0.50078,1.66,0.65385,1.33739,0.0006833,0.0006833,0.0006833
135,544.522,0.85294,0.40686,0.91885,0.86362,0.89655,0.93236,0.49897,1.67762,0.66337,1.34948,0.0006734,0.0006734,0.0006734
136,548.441,0.864,0.41217,0.92343,0.87705,0.87461,0.92319,0.49952,1.67498,0.65519,1.34243,0.0006635,0.0006635,0.0006635
137,552.563,0.81699,0.39963,0.90881,0.85441,0.89655,0.929,0.50713,1.67259,0.65088,1.32975,0.0006536,0.0006536,0.0006536
138,556.661,0.83961,0.40959,0.91538,0.88047,0.89655,0.92885,0.50034,1.68336,0.65312,1.34775,0.0006437,0.0006437,0.0006437
139,560.715,0.82822,0.4046,0.91896,0.87807,0.88297,0.9153,0.49304,1.70455,0.67311,1.35208,0.0006338,0.0006338,0.0006338
140,564.741,0.84222,0.41175,0.91958,0.86356,0.90038,0.9085,0.48123,1.70892,0.67352,1.35119,0.0006239,0.0006239,0.0006239
141,568.865,0.81346,0.40443,0.91642,0.8691,0.89034,0.90595,0.4914,1.67964,0.65661,1.34804,0.000614,0.000614,0.000614
142,572.921,0.82115,0.40102,0.92387,0.88175,0.88569,0.9168,0.49871,1.65958,0.65767,1.35314,0.0006041,0.0006041,0.0006041
143,577.021,0.8221,0.40412,0.90808,0.85833,0.90421,0.91878,0.49678,1.6556,0.64396,1.35168,0.0005942,0.0005942,0.0005942
144,581.088,0.82286,0.40551,0.91185,0.88452,0.86973,0.91177,0.4926,1.66374,0.65263,1.35328,0.0005843,0.0005843,0.0005843
145,585.061,0.79999,0.39452,0.90729,0.88336,0.89955,0.91257,0.49708,1.66192,0.65252,1.34378,0.0005744,0.0005744,0.0005744
146,589.176,0.80875,0.39661,0.90722,0.88631,0.90038,0.91212,0.49286,1.64926,0.6429,1.34741,0.0005645,0.0005645,0.0005645
147,593.187,0.81055,0.39727,0.90877,0.89059,0.89272,0.91608,0.49149,1.66052,0.66622,1.35882,0.0005546,0.0005546,0.0005546
148,597.234,0.80633,0.40103,0.90437,0.86076,0.89655,0.90914,0.49819,1.65634,0.66707,1.35221,0.0005447,0.0005447,0.0005447
149,601.286,0.79957,0.39222,0.90598,0.86966,0.89655,0.90964,0.49698,1.66012,0.6498,1.3565,0.0005348,0.0005348,0.0005348
150,605.33,0.79316,0.391,0.90378,0.8679,0.88506,0.9122,0.50176,1.66741,0.65557,1.36791,0.0005249,0.0005249,0.0005249
151,609.383,0.79482,0.39506,0.90788,0.9039,0.8659,0.9278,0.50636,1.66661,0.65639,1.37093,0.000515,0.000515,0.000515
152,613.406,0.77959,0.38854,0.89517,0.89545,0.8532,0.91169,0.49576,1.68511,0.6668,1.36737,0.0005051,0.0005051,0.0005051
153,617.422,0.78609,0.38844,0.90596,0.8671,0.87739,0.90761,0.49695,1.67372,0.66954,1.36515,0.0004952,0.0004952,0.0004952
154,621.425,0.79799,0.39075,0.90183,0.85241,0.90729,0.90642,0.5016,1.66471,0.65441,1.36854,0.0004853,0.0004853,0.0004853
155,625.503,0.79777,0.39306,0.90799,0.88401,0.8659,0.91145,0.50111,1.65958,0.64578,1.36074,0.0004754,0.0004754,0.0004754
156,629.562,0.79392,0.38831,0.8997,0.86669,0.89655,0.91706,0.49756,1.67526,0.66138,1.38283,0.0004655,0.0004655,0.0004655
157,633.639,0.78647,0.38813,0.90299,0.87949,0.89475,0.91613,0.50097,1.66769,0.64598,1.37968,0.0004556,0.0004556,0.0004556
158,637.646,0.753,0.37321,0.9002,0.85671,0.91633,0.91963,0.49836,1.68013,0.64887,1.38177,0.0004457,0.0004457,0.0004457
159,641.655,0.75728,0.37383,0.88888,0.85621,0.91188,0.91453,0.50659,1.66602,0.64991,1.37221,0.0004358,0.0004358,0.0004358
160,645.637,0.78185,0.37833,0.8995,0.85713,0.91954,0.91534,0.5029,1.67034,0.64929,1.37405,0.0004259,0.0004259,0.0004259
161,649.65,0.77783,0.38113,0.89994,0.86514,0.91188,0.91875,0.50023,1.66983,0.65613,1.37115,0.000416,0.000416,0.000416
162,653.773,0.78109,0.38764,0.8998,0.85997,0.91954,0.91541,0.50141,1.67492,0.65356,1.37175,0.0004061,0.0004061,0.0004061
163,657.807,0.75129,0.37331,0.88727,0.86113,0.89272,0.91121,0.50501,1.6611,0.65491,1.37439,0.0003962,0.0003962,0.0003962
164,662.053,0.7535,0.37505,0.89397,0.88712,0.85441,0.90471,0.49993,1.66489,0.65808,1.38287,0.0003863,0.0003863,0.0003863
165,666.198,0.74479,0.37206,0.90001,0.85816,0.87739,0.90665,0.5006,1.66415,0.64993,1.37373,0.0003764,0.0003764,0.0003764
